idx,model,vendorid
24,9,4
25,9,4
26,11,4
27,11,4
28,11,4
29,11,4
30,12,8
31,13,1
38,14,2
40,43,2
41,14,2
45,13,1
46,13,1
47,13,1
48,13,1
49,13,1
50,13,1
51,13,1
52,13,1
53,13,1
54,13,1
55,13,1
56,13,1
57,12,8
58,12,8
59,12,8
60,12,8
61,12,8
62,12,8
63,12,8
64,12,8
65,12,8
66,12,8
67,12,8
68,16,11
69,16,11
70,16,11
71,16,11
72,16,11
73,16,11
74,16,11
75,16,11
76,16,11
77,16,11
78,16,11
79,16,11
80,17,12
81,17,12
82,17,12
83,17,12
84,17,12
85,17,12
86,17,12
87,17,12
88,17,12
89,17,12
90,17,12
91,17,12
92,17,12
93,17,12
94,17,12
95,17,12
99,17,12
100,17,12
101,17,12
102,17,12
103,17,12
104,17,12
105,17,12
106,17,12
107,17,12
108,17,12
109,17,12
110,17,12
111,17,12
112,17,12
113,17,12
114,17,12
115,17,12
116,17,12
117,17,12
118,17,12
119,17,12
121,17,12
122,17,12
123,17,12
124,17,12
125,17,12
126,17,12
127,17,12
128,17,12
129,17,12
130,17,12
131,17,12
132,17,12
133,17,12
136,43,2
137,43,2
138,43,2
139,43,2
141,43,2
142,43,2
144,17,12
145,17,12
146,17,12
147,17,12
148,17,12
149,17,12
150,17,12
151,17,12
152,17,12
153,17,12
154,17,12
155,17,12
156,17,12
157,17,12
158,17,12
159,17,12
160,17,12
161,17,12
162,17,12
163,17,12
164,17,12
165,17,12
166,17,12
167,17,12
168,17,12
169,17,12
170,17,12
171,17,12
172,17,12
174,17,12
176,17,12
177,17,12
178,17,12
179,17,12
180,17,12
181,17,12
182,17,12
183,17,12
184,17,12
185,17,12
186,17,12
187,17,12
188,17,12
189,17,12
190,17,12
191,17,12
192,17,12
193,17,12
194,17,12
195,17,12
196,17,12
197,17,12
198,17,12
199,17,12
200,17,12
201,17,12
202,17,12
203,17,12
204,17,12
205,17,12
206,17,12
207,17,12
208,17,12
209,17,12
210,17,12
211,17,12
212,17,12
213,17,12
214,17,12
215,17,12
216,17,12
217,17,12
218,17,12
219,17,12
220,17,12
221,17,12
222,17,12
223,17,12
224,17,12
225,17,12
226,17,12
227,17,12
228,17,12
229,17,12
230,17,12
231,17,12
232,17,12
233,17,12
234,17,12
235,17,12
236,17,12
237,17,12
238,17,12
239,17,12
240,17,12
241,17,12
242,17,12
243,17,12
244,17,12
245,17,12
246,17,12
247,43,2
248,43,2
250,43,2
251,43,2
252,43,2
253,43,2
254,43,2
255,43,2
256,43,2
257,43,2
258,43,2
259,43,2
260,43,2
261,43,2
262,43,2
263,43,2
