idx,gender,motionOnly,status
256,0,0,1
257,0,1,1
258,0,0,1
259,0,0,1
260,0,0,1
261,0,0,1
262,0,0,1
263,0,0,0
264,0,0,0
265,0,0,1
266,0,0,0
267,0,0,0
268,0,0,0
269,0,1,1
271,0,1,1
272,0,1,1
273,0,0,1
274,0,1,1
275,0,0,1
276,0,0,0
277,0,0,0
278,0,0,0
279,0,0,0
280,0,0,0
281,1,1,0
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,1
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,1
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,1
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,1,0
309,0,0,0
310,1,0,0
311,0,0,0
312,0,0,0
313,0,0,0
314,0,0,1
315,0,0,0
316,0,0,1
317,0,0,0
318,0,0,0
319,0,0,0
320,0,0,0
321,0,0,1
322,0,0,0
323,0,0,0
324,1,0,0
325,0,0,0
326,0,0,0
327,0,0,0
328,0,0,0
329,0,0,0
330,0,0,0
331,1,0,0
332,0,0,0
333,0,0,0
334,0,0,0
335,0,0,0
336,0,0,0
337,0,0,0
338,0,0,0
339,0,0,0
340,0,0,0
341,0,0,0
342,0,0,0
343,0,0,1
344,0,0,0
345,0,0,0
346,1,0,0
347,0,0,0
348,0,0,0
349,0,1,0
350,0,0,0
351,0,0,0
352,0,0,0
353,0,0,0
354,0,0,0
355,0,0,0
356,0,0,0
357,0,0,0
358,0,0,0
359,0,0,0
360,0,0,0
361,0,0,0
362,0,0,0
363,0,0,0
364,0,0,0
365,0,0,0
366,0,0,0
367,0,0,0
368,0,0,0
369,0,0,1
370,0,0,0
371,0,0,0
372,0,0,0
373,0,0,0
374,0,0,0
375,0,0,0
376,0,0,0
377,0,0,0
378,0,0,0
379,0,0,0
380,0,1,0
381,0,0,0
382,0,0,1
383,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,0,0,0
388,0,0,1
389,0,0,0
390,0,0,0
391,1,0,0
392,0,0,0
393,0,0,0
394,0,0,0
395,0,0,0
396,0,0,0
397,0,0,0
398,0,0,0
399,0,0,0
400,0,0,0
401,0,0,0
402,0,0,1
403,0,0,0
404,0,0,0
405,0,1,0
406,1,0,0
407,1,0,0
408,0,0,0
411,0,0,0
412,0,0,1
413,1,0,0
414,0,0,1
415,0,0,0
416,1,0,0
417,1,0,0
418,0,0,1
419,1,0,0
420,0,0,0
421,1,0,0
422,1,0,0
423,0,0,0
424,1,0,0
425,1,0,0
426,0,0,0
427,0,0,0
428,1,0,0
429,0,0,0
430,1,0,0
431,1,0,0
432,1,0,0
433,1,0,0
434,0,0,0
435,0,0,0
436,1,0,0
437,1,0,0
438,0,0,0
439,1,0,0
440,0,0,0
441,1,0,1
442,0,0,0
443,1,0,1
444,1,0,0
445,1,0,0
446,1,0,0
447,0,0,0
448,0,0,0
449,1,0,0
450,0,0,0
451,1,0,0
452,1,0,1
453,0,0,1
454,1,0,0
455,0,0,0
456,1,0,0
457,1,0,0
458,1,0,0
459,1,0,0
460,1,0,0
461,1,0,0
462,0,0,1
463,1,0,0
464,1,0,0
465,0,0,0
466,0,0,0
467,0,0,0
468,1,0,0
469,1,0,0
470,0,0,0
471,0,0,0
472,0,0,0
473,1,0,0
474,0,0,0
475,0,0,1
476,1,0,0
477,0,0,0
478,1,0,0
479,0,0,0
480,0,0,0
481,1,0,0
482,0,0,0
483,0,0,0
484,0,0,0
485,1,0,0
486,1,0,0
487,1,0,0
488,1,0,0
489,1,0,0
490,1,0,0
491,0,0,0
492,1,0,1
493,0,0,0
494,1,0,0
495,1,0,0
496,1,0,0
497,0,0,0
498,1,0,1
499,1,0,0
500,1,0,0
501,1,0,1
502,1,0,0
503,1,0,0
504,1,0,0
505,0,0,0
506,1,0,0
507,1,0,0
508,1,0,0
509,0,0,0
510,0,0,0
511,1,0,0
512,1,0,0
513,1,0,0
514,1,0,0
515,1,0,0
516,1,0,0
517,0,0,0
518,1,0,0
519,0,0,0
520,1,0,0
521,1,0,1
522,1,0,0
523,1,0,0
524,1,0,0
525,0,0,0
526,0,0,0
527,0,0,0
528,0,0,0
529,0,0,1
530,0,0,0
531,0,0,0
532,0,0,0
533,0,0,0
534,0,0,0
535,0,0,0
536,0,0,0
537,0,0,0
538,0,0,0
539,0,0,0
540,0,0,0
541,0,0,0
542,1,0,1
543,1,0,-1
544,0,0,0
545,1,0,0
546,1,0,1
547,0,0,1
548,1,0,1
549,1,0,0
550,1,0,0
551,0,0,0
552,1,0,0
553,0,0,0
554,1,0,0
555,1,0,0
556,1,0,0
557,1,0,0
558,1,0,0
559,1,0,0
560,0,0,0
561,1,0,0
562,0,0,0
563,1,0,0
564,0,0,0
565,0,0,1
566,1,0,1
567,0,0,1
568,0,0,1
569,1,0,1
570,0,0,0
571,1,0,0
572,1,0,0
573,0,0,0
574,1,0,0
575,1,0,1
576,0,0,1
577,1,0,1
578,1,0,1
579,0,0,0
580,1,0,0
581,0,0,0
582,1,0,0
583,1,0,0
584,0,0,0
585,0,0,0
586,1,0,0
587,0,0,0
588,0,0,0
589,0,0,0
590,1,0,0
591,1,0,0
592,0,0,0
593,1,0,0
594,1,0,1
595,1,0,0
596,0,0,0
597,0,0,0
598,1,0,0
599,1,0,0
600,1,0,0
601,1,0,0
602,1,0,0
603,0,0,0
604,1,0,0
605,1,0,0
606,0,0,0
607,1,0,0
608,0,0,0
609,0,0,0
610,1,0,0
611,0,0,1
612,1,0,0
613,1,0,0
614,1,0,0
615,1,0,0
616,1,0,0
617,0,0,0
618,1,0,0
619,1,0,0
620,1,0,0
621,0,0,0
622,0,0,0
623,1,0,0
624,1,0,0
625,1,0,1
626,0,0,0
627,0,0,0
628,1,0,0
629,0,0,0
630,0,0,0
631,1,0,0
632,0,0,0
633,1,0,0
634,0,0,0
635,1,0,0
636,1,0,0
637,0,0,0
638,1,0,0
639,1,0,0
640,0,0,1
641,1,0,0
642,1,0,0
643,1,0,0
644,0,0,0
645,0,0,0
646,1,0,0
647,0,0,0
648,0,0,0
649,0,0,0
650,1,0,0
651,0,0,0
652,1,0,0
653,0,0,0
654,0,0,0
655,1,0,0
656,0,0,0
657,0,0,1
658,1,0,0
659,1,0,0
660,0,0,0
661,1,0,0
662,0,0,0
663,0,0,1
664,1,0,0
665,0,0,0
666,0,0,0
667,0,0,0
668,0,0,0
669,1,0,0
670,1,0,0
671,0,0,0
672,1,0,0
673,0,0,0
674,1,0,0
675,0,0,0
676,1,0,0
677,0,0,0
678,1,0,0
679,1,0,0
680,1,0,0
681,1,0,0
682,0,0,0
683,0,0,0
684,1,0,1
685,1,0,0
686,1,0,0
687,1,0,0
688,0,0,0
689,1,0,0
691,0,0,0
692,1,0,0
693,0,0,0
694,0,0,0
695,1,0,1
696,1,0,0
697,0,0,0
698,0,0,1
699,1,0,0
700,0,0,0
701,1,0,0
702,1,0,0
703,1,0,0
704,0,0,0
705,1,0,0
706,0,0,0
707,1,0,0
708,1,0,0
709,0,0,0
710,1,0,0
711,0,0,0
712,0,0,0
713,1,0,1
714,0,0,0
715,0,0,0
716,0,0,0
717,1,0,-1
718,1,0,0
719,0,0,1
720,0,0,0
721,1,0,0
722,0,0,0
723,0,0,0
724,1,0,0
725,1,0,0
726,1,0,0
727,1,0,0
728,0,0,0
729,0,0,1
730,1,0,0
731,1,0,0
732,0,0,1
733,0,0,0
734,1,0,0
735,1,0,0
736,1,0,0
737,0,0,0
738,0,0,0
739,1,0,1
740,0,0,1
741,1,0,0
742,1,0,0
743,0,0,0
744,0,0,0
745,1,0,0
746,0,0,1
747,1,0,1
748,0,0,0
749,1,0,1
750,0,0,0
751,1,0,0
752,1,0,0
753,1,0,0
754,0,0,0
755,1,0,0
756,0,0,0
757,1,0,0
758,0,0,0
759,0,0,0
760,1,0,0
761,1,0,0
762,0,0,0
763,0,0,0
764,0,0,1
765,1,0,0
766,1,0,0
767,1,0,0
768,1,0,0
769,0,0,0
770,0,0,0
771,1,0,0
772,0,0,0
773,0,0,1
774,0,0,0
775,0,0,0
776,1,0,0
777,1,0,0
778,1,0,0
779,1,0,0
780,1,0,0
781,0,0,0
782,0,0,0
783,0,0,0
784,0,0,0
785,0,0,0
786,0,0,0
787,1,0,0
788,0,0,0
789,0,0,0
790,1,0,0
791,1,0,0
792,0,0,0
793,0,0,0
794,1,0,0
795,1,0,0
796,0,0,0
797,0,0,0
798,0,0,0
799,0,0,0
800,0,0,0
801,0,0,0
802,0,0,0
803,0,0,0
804,1,0,0
805,1,0,0
806,0,0,0
807,1,0,0
808,1,0,0
809,0,0,0
810,0,0,0
811,0,0,0
812,1,0,0
813,0,0,0
814,0,0,0
815,0,0,0
816,0,0,0
817,0,0,0
818,0,0,0
819,0,0,0
820,0,0,0
821,0,0,0
822,0,0,0
823,0,0,0
824,0,0,0
825,0,0,0
826,0,0,0
827,0,0,0
828,0,0,0
829,0,0,0
830,1,0,0
831,0,0,0
832,0,0,0
833,0,0,0
834,0,0,0
835,0,0,0
836,0,0,0
837,1,0,0
838,1,0,0
839,0,0,0
840,1,0,0
841,0,0,0
